reservoir,state,reviewer_note,verdict,why,proposed_name,agreeing_sources,sources_within_1km,gnis_1km,nhd_waterbody_1km,nhd_area_1km,nhd_medium_1km,esri_1km,beyond_1km,claimed_name
Crane Valley,CA,Bass Lake,confirmed,3 sources name it within 1 km,Bass Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Bass Lake,,Bass Lake,Bass Lake,gnis:Wishon Cove,Bass Lake
Jenkinson Lake,CA,Jenkinson Reservoir,confirmed,3 sources name it within 1 km,Jenkinson Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Jenkinson Lake,,Jenkinson Lake,Jenkinson Lake,gnis:Jenkinson Lake,Jenkinson Reservoir
Boca Reservoir,CA,Boca Reservoir,confirmed,3 sources name it within 1 km,Boca Reservoir,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Boca Reservoir,,Boca Reservoir,Boca Reservoir,gnis:Mills Spring,Boca Reservoir
Santa Margarita Lake,CA,Santa Margarita Lake,confirmed,2 sources name it within 1 km,Santa Margarita Lake,"nhd_medium_1km,nhd_waterbody_1km","nhd_medium,nhd_waterbody",,Santa Margarita Lake,,Santa Margarita Lake,,,Santa Margarita Lake
Loveland Reservoir,CA,Loveland Reservoir,confirmed,3 sources name it within 1 km; also within 1 km: Sweetwater Falls Dam,Loveland Reservoir,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_area,nhd_medium,nhd_waterbody",,Loveland Reservoir,Sweetwater Falls Dam,Loveland Reservoir,Loveland Reservoir,,Loveland Reservoir
Nicasio,CA,Nicasio Reservoir,confirmed,3 sources name it within 1 km,Nicasio Reservoir,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Nicasio Reservoir,,Nicasio Reservoir,Nicasio Reservoir,,Nicasio Reservoir
Lexington Reservoir,CA,Lexington Reservoir,confirmed,2 sources name it within 1 km,Lexington Reservoir,"esri_1km,nhd_waterbody_1km","esri,nhd_waterbody",,Lexington Reservoir; Lexington Reservoir; Lexington Reservoir,,,Lexington Reservoir,gnis:Lake Kittredge; nhd_medium:Lake Couzzens,Lexington Reservoir
Gem  Lake,CA,Gem Lake,confirmed,3 sources name it within 1 km; also within 1 km: Agnew Lake,Gem Lake,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,gnis,nhd_medium,nhd_waterbody",Agnew Lake,Agnew Lake; Gem Lake,,Agnew Lake; Gem Lake,Gem Lake; Agnew Lake,,Gem Lake
Relief,CA,Relief Reservoir,confirmed,4 sources name it within 1 km,Relief Reservoir,"esri_1km,gnis_1km,nhd_medium_1km,nhd_waterbody_1km","esri,gnis,nhd_medium,nhd_waterbody",Relief Reservoir,Relief Reservoir,,Relief Reservoir,Relief Reservoir,nhd_area:Relief 97-080 Dam,Relief Reservoir
Crawford Reservoir,CO,Crawford Reservoir,confirmed,3 sources name it within 1 km,Crawford Reservoir,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Crawford Reservoir,,Crawford Reservoir,Crawford Reservoir,gnis:Crawford Reservoir,Crawford Reservoir
French Lake,CA,French Lake - check lat long on dam point,point suspect,no source names it within 1 km; they name Echo Lake,Echo Lake,"gnis_1km,nhd_medium_1km,nhd_waterbody_1km","gnis,nhd_medium,nhd_waterbody",Echo Lake,Echo Lake,,Echo Lake,,esri:Jackson Meadows Reservoir,French Lake
Thermalito Forebay,CA,Thermalito Forebay,confirmed,3 sources name it within 1 km,Thermalito Afterbay,"esri_1km,nhd_medium_1km,nhd_waterbody_1km","esri,nhd_medium,nhd_waterbody",,Thermalito Afterbay; Thermalito Forebay,,Thermalito Forebay; Thermalito Afterbay,Thermalito Forebay,,Thermalito Forebay
Kolob Reservoir,UT,Kolob Reservoir - check dam lat long,human review,nearest evidence beyond 1 km,,,,,,,,,gnis:Kolob Reservoir; esri:Blue Springs Reservoir,Kolob Reservoir
Long Hollow Reservoir,CO,zero idea leave alone for now,human review,no source within 4 km,,,,,,,,,,Long Hollow Reservoir
Jackson Flat,UT,zero idea leave alone for now,confirmed,"1 source name it within 1 km; also within 1 km: Spencer Number Two Reservoir, Spencer Number Two Reservoir (historical)",Jackson Flat Reservoir,gnis_1km,"esri,gnis,nhd_medium,nhd_waterbody",Jackson Flat Reservoir,Spencer Number Two Reservoir,,Spencer Number Two Reservoir (historical),Spencer Number Two Reservoir,,Jackson Flat
Pleasant Valley Reservoir,CA,zero idea leave alone for now,human review,nearest evidence beyond 1 km,,,,,,,,,nhd_medium:Pleasant Valley Reservoir,Pleasant Valley Reservoir
Grantsville,UT,zero idea leave alone for now,human review,no source within 4 km,,,,,,,,,,Grantsville
