class_,reason,reservoir,station,provider,state,nhd_answer,esri_answer,reviewer_ruling,notes
disputed,silent on both,Huntington Lake (Usbr),HNT,California Data Exchange Center,CA,(none),(none),,Huntington Lake
disputed,silent on both,Leroy Anderson,LRA,California Data Exchange Center,CA,(none),(none),,Anderson Lake
disputed,silent on both,Lake Davis (Dwr),DAV,California Data Exchange Center,CA,(none),(none),,Lake Davis
disputed,silent on both,Scofield,727,Bureau of Reclamation RISE,UT,(none),(none),,incorrect point
disputed,silent on both,Frenchman Dam,FRD,California Data Exchange Center,CA,(none),(none),,Frenchman Lake
disputed,silent on both,East Park Reservoir,EPK,California Data Exchange Center,CA,(none),(none),,East Park Reservoir
disputed,silent on both,Morena Dam,MOR,California Data Exchange Center,CA,(none),(none),,Morena Reservoir
disputed,silent on both,Lower Bear,LWB,California Data Exchange Center,CA,(none),(none),,Lower Bear River Reservoir
disputed,silent on both,Crane Valley,CNV,California Data Exchange Center,CA,(none),(none),,Bass Lake
disputed,silent on both,Jenkinson Lake,JNK,California Data Exchange Center,CA,(none),(none),,Jenkinson Reservoir
disputed,silent on both,Boca Reservoir,10344490:CA:BOR,USDA NRCS AWDB,CA,(none),(none),,Boca Reservoir
disputed,silent on both,Santa Margarita Lake,SLN,California Data Exchange Center,CA,(none),(none),,Santa Margarita Lake
disputed,silent on both,Loveland Reservoir,LVD,California Data Exchange Center,CA,(none),(none),,Loveland Reservoir
disputed,silent on both,Nicasio,NCA,California Data Exchange Center,CA,(none),(none),,Nicasio Reservoir
disputed,silent on both,Lexington Reservoir,LNG,California Data Exchange Center,CA,(none),(none),,Lexington Reservoir
disputed,silent on both,Gem  Lake,GLK,California Data Exchange Center,CA,(none),(none),,Gem Lake
disputed,silent on both,Relief,RLF,California Data Exchange Center,CA,(none),(none),,Relief Reservoir
disputed,silent on both,Crawford Reservoir,09009340:CO:BOR,USDA NRCS AWDB,CO,(none),(none),,Crawford Reservoir
disputed,silent on both,French Lake,FRL,California Data Exchange Center,CA,(none),(none),,check lat long on point
disputed,silent on both,Thermalito Forebay,TFR,California Data Exchange Center,CA,(none),(none),,Thermalito Forebay
disputed,silent on both,Kolob Reservoir,09UTKOLB:UT:BOR,USDA NRCS AWDB,UT,(none),(none),,incorrect lat long not on water
disputed,silent on both,Long Hollow Reservoir,LONRESCO,Colorado Division of Water Resources,CO,(none),(none),unsure,zero idea leave alone for now
disputed,silent on both,Jackson Flat,09UTJACK:UT:BOR,USDA NRCS AWDB,UT,(none),(none),unsure,
disputed,silent on both,Pleasant Valley Reservoir,PVR,California Data Exchange Center,CA,(none),(none),unsure,zero idea leave alone for now
disputed,silent on both,Grantsville,10UTGTVL:UT:BOR,USDA NRCS AWDB,UT,(none),(none),unsure,zero idea leave alone for now
esri-confirmed,Esri alone,Shasta Lake,10864,Bureau of Reclamation RISE,CA,(none),(unnamed); (unnamed),,Shasta Lake
esri-confirmed,Esri alone,Flathead Lake,12371550:MT:BOR,USDA NRCS AWDB,MT,(none),(unnamed),,Flathead Lake
esri-confirmed,sources align,Ross,12175000:WA:BOR,USDA NRCS AWDB,WA,Ross Lake; Diablo Lake,Ross Lake; (unnamed),,Ross Lake
esri-confirmed,"Esri single, NHD several",Lookout Point,14149000:OR:BOR,USDA NRCS AWDB,OR,Dexter Reservoir; Lookout Point Lake,(unnamed),,Lookout Point Lake
esri-confirmed,Esri alone,Warm Springs (Lake Sonoma),WRS,California Data Exchange Center,CA,(none),Lake Sonoma,,Lake Sonoma
esri-confirmed,Esri alone,Nacimiento,NCM,California Data Exchange Center,CA,(none),(unnamed),,Nacimiento Reservoir
esri-confirmed,Esri alone,Clear Lake,14097310:OR:BOR,USDA NRCS AWDB,OR,(none),(unnamed); (unnamed),,Clear Lake
esri-confirmed,Esri alone,Indian Valley,INV,California Data Exchange Center,CA,(none),Indian Valley Reservoir,esri,
esri-confirmed,"Esri single, NHD several",Arrowrock Reservoir,13194000:ID:BOR,USDA NRCS AWDB,ID,Lucky Peak Lake; Arrowrock Reservoir,(unnamed),,Arrowrock Reservoir
esri-confirmed,"Esri single, NHD several",Island Park Reservoir,13042000:ID:BOR,USDA NRCS AWDB,ID,Island Park Reservoir; None,(unnamed),,Island Park Reservoir
esri-confirmed,Esri alone,Calaveras,CVE,California Data Exchange Center,CA,(none),Calaveras Reservoir,esri,
esri-confirmed,"Esri single, NHD several",Gerber,11483400:OR:BOR,USDA NRCS AWDB,OR,Gerber Reservoir; None; None,(unnamed),nhd,
esri-confirmed,"Esri single, NHD several",Wild Horse Reservoir,13174000:NV:BOR,USDA NRCS AWDB,NV,Wild Horse Reservoir; None,(unnamed),nhd,
esri-confirmed,Esri alone,Keswick Reservoir,10794,Bureau of Reclamation RISE,CA,(none),(unnamed),unsure,
esri-confirmed,"Esri single, NHD several",Minersville,10238500:UT:BOR,USDA NRCS AWDB,UT,Minersville Reservoir; None,(unnamed),nhd,
esri-confirmed,sources align,Panguitch,10UTPANG:UT:BOR,USDA NRCS AWDB,UT,None; Panguitch Lake,Panguitch Lake,esri,
esri-confirmed,"Esri single, NHD several",Pit R No 6 Reservoir,PT6,California Data Exchange Center,CA,Pit 7 Reservoir; Pit Six Reservoir,(unnamed),,Pit Six Reservoir
esri-confirmed,sources align,Gibraltar Dam,GBL,California Data Exchange Center,CA,Gibraltar Reservoir; Gibraltar Reservoir,Gibraltar Reservoir,esri,
esri-confirmed,"Esri single, NHD several",DMAD,09UTDMAD:UT:BOR,USDA NRCS AWDB,UT,None; D M A D Reservoir,DMAD Reservoir,esri,
esri-confirmed,sources align,Rocky Ford,09UTRKYF:UT:BOR,USDA NRCS AWDB,UT,Rocky Ford Reservoir; None,Rocky Ford Reservoir,esri,
esri-confirmed,sources align,Haviland Lake Reservoir,HAVRESCO,Colorado Division of Water Resources,CO,Haviland Lake; None,Haviland Lake,esri,
